time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
5.83,index,9.47,19.05,1.73,9.19,92.4,84,ok
6.23,index,9.61,19.12,2.01,8.63,95.6,88,ok
6.63,index,9.71,17.01,1.81,9.12,94.3,88,ok
8.35,index,9.67,20.07,2.13,8.01,94.3,88,ok
8.84,index,9.65,12.79,1.63,9.98,94.9,88,ok
9.24,index,9.36,10.63,1.37,10.31,88.9,83,ok
9.43,index,10.04,21.83,2.18,7.84,93.9,90,ok
9.83,index,9.43,19.06,1.98,8.53,94.6,84,ok
10.23,index,9.65,16.84,1.58,9.1,88.8,86,ok
10.63,index,9.67,19.06,2.0,8.54,95.1,86,ok
11.03,index,9.82,19.84,2.26,7.37,92.1,87,ok
11.43,index,9.78,18.92,2.12,8.17,95.2,85,ok
11.64,index,9.83,21.8,2.18,7.6,92.4,87,ok
12.04,index,9.83,19.03,2.11,8.27,95.7,87,ok
12.44,index,9.78,21.8,2.2,7.99,95.4,87,ok
12.84,index,9.67,18.8,2.07,8.27,94.9,87,ok
13.24,index,9.69,18.92,2.11,8.17,95.0,86,ok
13.64,index,9.7,19.03,1.98,8.61,95.2,86,ok
14.04,index,9.72,18.69,2.04,8.43,95.3,85,ok
14.44,index,9.68,11.31,1.69,9.75,95.1,86,ok
14.84,index,9.77,19.03,2.11,8.05,94.2,86,ok
15.03,index,9.79,19.03,2.2,7.75,93.8,87,ok
15.43,index,9.79,19.38,2.2,7.8,94.1,87,ok
15.83,index,9.73,19.03,2.11,8.17,95.0,87,ok
16.23,index,9.74,19.03,2.13,7.28,89.2,86,ok
16.63,index,9.7,19.27,2.15,8.17,95.8,86,ok
17.03,index,9.69,19.03,2.03,8.59,96.1,87,ok
17.43,index,9.74,19.03,2.12,8.11,94.8,86,ok
17.83,index,9.78,19.03,2.11,8.24,95.5,87,ok
18.23,index,9.77,19.03,2.04,8.37,94.9,87,ok
18.44,index,9.7,18.92,2.16,7.84,93.7,87,ok
18.84,index,9.75,19.03,2.18,7.78,93.7,87,ok
19.24,index,9.69,19.03,2.09,8.26,95.2,86,ok
19.64,index,9.77,18.92,1.9,8.97,95.7,86,ok
20.04,index,9.62,19.03,2.1,8.16,94.8,85,ok
20.44,index,9.62,18.57,2.03,8.4,94.9,86,ok
20.84,index,9.68,19.03,2.1,8.19,94.9,86,ok
21.24,index,9.65,19.03,2.08,8.24,94.9,84,ok
21.64,index,9.82,18.57,2.03,8.46,95.3,88,ok
22.04,index,9.59,19.03,2.09,8.09,94.0,86,ok
22.23,index,9.66,18.92,2.17,7.73,93.1,86,ok
22.63,index,9.63,18.57,2.0,8.56,95.3,86,ok
23.03,index,9.66,18.69,2.07,8.15,94.1,86,ok
23.43,index,9.65,19.84,2.22,7.83,94.7,86,ok
23.83,index,9.75,19.03,1.82,8.13,88.9,88,ok
24.23,index,8.39,13.05,1.1,8.54,72.6,86,ok
24.44,index,7.39,13.42,1.15,6.51,63.9,70,ok
24.84,index,9.86,19.96,2.47,6.15,85.5,75,ok
25.03,index,10.0,20.13,2.66,6.03,86.5,68,ok
25.43,index,9.93,20.59,2.72,5.89,85.9,65,ok
25.64,index,9.74,21.29,2.15,6.59,84.2,62,ok
26.04,index,9.81,12.84,2.15,6.67,84.8,58,ok
26.42,index,9.9,16.43,2.06,6.98,85.6,58,ok
26.63,index,9.7,16.2,2.1,6.65,83.9,54,ok
27.03,index,9.67,12.71,1.74,7.59,83.7,59,ok
27.43,index,9.84,16.31,2.13,6.75,85.0,59,ok
27.83,index,9.73,21.26,2.26,6.36,84.2,65,ok
28.02,index,9.72,12.48,1.94,7.06,84.2,58,ok
28.42,index,9.67,12.48,1.62,8.03,83.7,56,ok
28.63,index,9.64,12.61,1.6,8.07,83.4,56,ok
29.03,index,9.61,12.38,1.67,7.75,83.1,53,ok
29.43,index,9.54,15.85,1.66,7.68,82.5,58,ok
29.62,index,9.54,21.6,1.84,7.1,82.6,81,ok
30.02,index,9.6,12.94,1.85,7.15,83.1,60,ok
30.23,index,9.78,12.59,1.75,7.71,84.7,58,ok
30.63,index,9.66,12.82,1.72,7.64,83.6,56,ok
31.03,index,9.84,15.94,2.28,6.45,85.2,58,ok
31.43,index,9.69,12.57,1.67,7.86,84.0,58,ok
31.62,index,9.53,12.69,1.64,7.75,82.6,60,ok
32.02,index,9.75,12.59,1.75,7.67,84.4,61,ok
32.42,index,9.71,12.57,1.77,7.55,84.2,59,ok
32.63,index,9.81,12.57,1.61,8.28,85.0,62,ok
33.03,index,9.7,12.59,1.62,8.06,83.9,62,ok
33.43,index,9.86,15.92,1.69,8.04,85.5,63,ok
33.83,index,9.65,12.59,1.71,7.66,83.5,59,ok
34.02,index,9.7,15.8,1.67,7.88,84.1,62,ok
34.42,index,10.02,12.56,1.71,8.19,86.9,60,ok
34.82,index,9.85,12.69,1.69,8.02,85.4,61,ok
35.22,index,9.91,12.57,1.73,7.96,85.9,60,ok
35.43,index,9.69,12.56,1.74,7.62,84.1,61,ok
35.83,index,9.55,12.69,1.68,7.63,82.8,60,ok
36.23,index,9.94,12.71,1.76,7.9,86.1,62,ok
36.63,index,9.71,12.57,1.62,8.09,84.2,58,ok
36.82,index,9.76,12.56,1.7,7.85,84.7,62,ok
37.22,index,10.0,12.56,1.73,8.09,86.8,63,ok
37.62,index,9.48,12.57,1.72,7.39,82.1,59,ok
38.02,index,9.86,12.57,1.75,7.81,85.4,60,ok
38.23,index,10.11,16.13,1.75,8.17,87.8,58,ok
38.63,index,9.44,15.8,1.7,7.4,81.8,55,ok
39.03,index,9.81,12.94,1.6,8.32,84.9,60,ok
39.43,index,10.04,15.57,2.1,7.05,87.0,56,ok
39.83,index,9.52,12.36,1.65,7.69,82.4,56,ok
40.23,index,9.74,12.34,1.66,7.97,84.4,56,ok
40.63,index,10.26,16.06,2.15,7.2,88.8,62,ok
40.82,index,9.65,12.57,1.62,7.99,83.6,57,ok
41.22,index,9.84,12.23,1.59,8.41,85.3,55,ok
41.62,index,9.71,12.23,1.62,8.08,84.2,53,ok
42.02,index,9.61,12.34,1.62,7.94,83.3,58,ok
42.23,index,9.61,12.34,1.58,8.09,83.3,55,ok
42.63,index,9.09,12.69,1.4,8.08,78.8,57,ok
43.03,index,9.9,16.17,2.17,6.74,85.7,61,ok
43.43,index,9.41,15.71,1.62,7.65,81.5,55,ok
43.83,index,9.3,15.71,1.6,7.56,80.5,55,ok
44.02,index,9.32,12.36,1.48,8.07,80.7,58,ok
44.42,index,9.69,12.36,1.54,8.39,83.8,58,ok
44.82,index,9.53,15.71,1.6,7.89,82.5,56,ok
45.22,index,10.18,15.71,2.07,7.29,88.1,58,ok
45.43,index,9.78,12.94,1.7,7.88,84.6,59,ok
45.83,index,9.49,12.59,1.5,8.25,82.1,58,ok
46.23,index,9.21,12.34,1.38,8.37,79.8,54,ok
46.63,index,9.58,12.92,1.56,8.13,83.0,60,ok
46.82,index,9.6,12.59,1.56,8.16,83.1,55,ok
47.22,index,9.8,12.9,1.62,8.22,85.0,63,ok
47.62,index,9.63,15.46,1.59,8.08,83.5,60,ok
48.02,index,9.64,12.36,1.49,8.54,83.4,54,ok
48.23,index,9.58,12.34,1.48,8.5,83.1,59,ok
48.63,index,9.39,12.57,1.43,8.43,81.4,56,ok
49.03,index,9.62,12.36,1.52,8.38,83.3,58,ok
49.43,index,9.42,12.23,1.36,8.84,81.7,53,ok
49.83,index,9.22,12.8,1.33,8.66,80.0,56,ok
50.23,index,9.23,12.23,1.36,8.5,80.0,54,ok
50.42,index,7.73,15.57,1.55,8.18,83.0,69,ok
50.82,index,9.36,12.21,1.44,8.33,81.3,54,ok
51.22,index,9.37,12.8,1.47,8.2,81.2,59,ok
51.43,index,9.57,12.48,1.53,8.25,82.9,66,ok
51.83,index,10.04,12.36,1.43,8.22,80.2,88,ok
52.23,index,9.57,12.71,1.54,8.21,82.9,64,ok
52.63,index,7.67,15.94,1.59,7.6,80.5,68,ok
52.82,index,9.43,15.59,1.54,7.99,81.7,57,ok
53.22,index,9.31,12.13,1.47,8.1,80.6,54,ok
53.62,index,9.19,12.24,1.41,8.19,79.5,58,ok
54.02,index,9.26,12.24,1.5,7.9,80.2,64,ok
54.42,index,9.36,15.59,1.57,7.76,81.0,58,ok
54.63,index,9.27,12.59,1.5,7.91,80.2,59,ok
55.01,index,9.23,15.36,1.51,7.81,79.9,62,ok
55.41,index,9.12,12.24,1.42,8.03,79.0,55,ok
55.81,index,9.11,15.59,1.49,7.71,78.9,56,ok
56.21,index,9.34,12.24,1.5,8.02,80.8,55,ok
56.61,index,9.21,15.83,1.53,7.7,79.7,57,ok
56.82,index,9.16,12.48,1.41,8.14,79.3,58,ok
57.22,index,9.06,15.83,1.49,7.63,78.4,58,ok
57.62,index,9.11,15.59,1.51,7.63,78.9,59,ok
58.02,index,9.22,12.36,1.44,8.1,79.8,54,ok
58.42,index,9.35,12.57,1.52,7.95,81.0,54,ok
58.61,index,9.56,12.59,1.59,7.99,82.8,60,ok
59.01,index,8.96,12.71,1.36,8.06,77.6,57,ok
59.41,index,9.26,12.59,1.49,7.94,80.2,57,ok
59.81,index,9.55,15.59,1.73,7.46,82.7,60,ok
60.21,index,9.31,15.48,1.6,7.57,80.6,55,ok
60.42,index,8.99,12.36,1.36,8.11,77.8,58,ok
60.82,index,9.09,15.59,1.51,7.6,78.7,57,ok
61.22,index,9.33,15.48,1.58,7.68,80.8,58,ok
61.62,index,9.14,12.36,1.43,8.02,79.1,57,ok
62.02,index,9.22,12.48,1.41,8.24,79.8,55,ok
62.22,index,9.18,15.59,1.49,7.81,79.4,57,ok
62.61,index,9.05,12.36,1.44,7.83,78.4,55,ok
63.02,index,8.89,12.34,1.36,7.94,77.0,53,ok
63.41,index,9.31,15.59,1.63,7.46,80.6,58,ok
63.63,index,9.61,12.24,1.6,8.02,83.2,56,ok
64.02,index,9.32,12.24,1.49,8.02,80.6,59,ok
64.42,index,9.09,12.24,1.43,7.93,78.7,58,ok
64.82,index,8.94,15.59,1.44,7.66,77.4,56,ok
65.01,index,10.01,15.59,1.98,7.31,86.6,59,ok
65.41,index,9.37,12.36,1.55,7.85,81.1,51,ok
65.81,index,9.33,15.59,1.62,7.53,80.8,57,ok
66.21,index,9.69,15.59,1.65,7.94,83.9,58,ok
66.61,index,9.15,12.23,1.44,7.98,79.3,54,ok
66.82,index,8.81,12.36,1.38,7.72,76.3,55,ok
67.22,index,9.81,12.23,1.64,8.15,85.0,58,ok
67.62,index,9.74,12.36,1.58,8.29,84.3,59,ok
68.02,index,9.76,15.59,1.96,7.05,84.5,56,ok
68.22,index,10.14,12.36,1.66,8.58,87.8,59,ok
68.62,index,9.79,12.36,1.54,8.54,84.7,55,ok
69.01,index,9.26,12.24,1.4,8.36,80.2,52,ok
69.42,index,10.13,15.59,2.02,7.36,87.7,56,ok
69.81,index,10.13,12.48,1.6,8.82,87.7,58,ok
70.02,index,10.21,15.57,2.02,7.46,88.5,60,ok
70.42,index,9.81,15.59,1.6,8.32,84.9,56,ok
70.82,index,8.52,15.59,1.69,8.35,87.2,76,ok
71.22,index,10.07,15.69,1.71,8.26,87.3,60,ok
71.62,index,9.83,15.59,1.61,8.31,85.1,56,ok
72.02,index,9.1,12.24,1.36,8.3,78.8,52,ok
72.21,index,9.7,15.59,1.62,8.06,83.9,55,ok
72.61,index,9.36,15.71,1.62,7.57,81.0,54,ok
73.01,index,9.38,12.82,1.45,8.31,81.2,55,ok
73.42,index,10.38,12.59,1.56,9.41,89.9,61,ok
73.81,index,10.19,12.71,1.55,9.15,88.2,56,ok
74.02,index,9.98,12.46,1.61,8.54,86.5,56,ok
74.42,index,9.82,15.59,1.57,8.47,85.0,56,ok
74.82,index,9.14,12.36,1.58,8.94,87.9,81,ok
75.22,index,9.45,15.48,1.58,7.86,81.8,55,ok
75.62,index,9.28,12.48,1.42,8.29,80.3,50,ok
1.03,index,,,,,,,No finger detected.
1.25,index,,,,,,,No finger detected.
1.44,index,,,,,,,No finger detected.
1.64,index,,,,,,,No finger detected.
1.84,index,,,,,,,No finger detected.
2.04,index,,,,,,,No finger detected.
2.24,index,,,,,,,No finger detected.
2.44,index,,,,,,,No finger detected.
2.64,index,,,,,,,No finger detected.
3.03,index,9.82,13.13,1.96,7.13,84.5,69,ok
3.43,index,9.77,13.07,2.79,5.67,84.4,100,ok
3.64,index,9.77,20.97,1.74,7.73,84.3,106,ok
4.04,index,9.8,12.03,1.9,7.27,84.7,92,ok
4.44,index,9.7,17.93,2.05,6.76,83.8,92,ok
4.63,index,9.71,13.24,1.68,7.86,81.5,62,ok
5.03,index,9.83,13.6,2.16,6.67,82.4,64,ok
5.24,index,10.09,22.13,2.39,6.52,85.8,57,ok
5.64,index,9.66,21.29,1.92,7.03,83.0,55,ok
6.04,index,9.72,12.63,1.28,9.86,83.9,62,ok
6.23,index,9.75,15.64,1.31,9.72,84.1,66,ok
6.63,index,9.87,12.63,1.33,9.82,85.2,66,ok
7.03,index,9.9,12.4,1.15,11.23,85.4,64,ok
7.24,index,9.38,12.48,1.16,10.85,84.5,82,ok
7.64,index,9.79,12.48,1.17,10.83,84.8,64,ok
7.83,index,9.8,15.6,1.28,10.02,84.8,63,ok
8.23,index,9.81,15.6,1.27,10.11,84.9,63,ok
8.63,index,9.73,12.36,1.28,9.89,84.3,61,ok
8.84,index,9.92,15.71,1.34,9.86,85.9,64,ok
9.24,index,9.85,15.59,1.32,9.84,85.3,63,ok
9.64,index,10.1,12.48,1.35,10.12,87.4,62,ok
9.83,index,9.26,12.36,1.34,9.91,86.2,83,ok
10.23,index,9.73,12.5,1.3,9.76,84.1,60,ok
10.44,index,9.96,12.63,1.35,9.87,86.0,66,ok
10.84,index,10.13,12.61,1.46,9.52,87.6,67,ok
11.24,index,9.57,12.73,1.42,8.78,82.7,65,ok
11.64,index,10.22,12.48,1.38,10.15,88.5,67,ok
12.04,index,9.64,12.48,1.22,10.14,83.5,62,ok
12.23,index,10.07,12.48,1.45,9.46,87.1,68,ok
12.63,index,9.97,12.48,1.44,9.35,86.3,67,ok
13.03,index,9.92,12.59,1.32,9.98,85.9,66,ok
13.43,index,10.33,12.48,1.43,10.03,89.4,68,ok
13.64,index,9.87,12.48,1.43,9.23,85.4,63,ok
14.04,index,9.73,12.71,1.32,9.63,84.2,66,ok
14.44,index,9.87,12.71,1.46,9.07,85.4,67,ok
14.84,index,10.03,12.71,1.47,9.3,86.8,67,ok
15.24,index,9.78,12.36,1.5,8.72,84.7,65,ok
15.43,index,9.62,15.6,1.38,9.07,83.2,66,ok
15.83,index,9.95,12.48,1.5,9.01,86.2,66,ok
16.23,index,9.67,12.48,1.45,8.78,83.7,63,ok
16.63,index,10.04,12.82,1.52,9.05,86.9,68,ok
16.84,index,9.95,12.48,1.53,8.85,86.1,66,ok
17.24,index,9.56,12.71,1.35,9.14,82.7,63,ok
17.64,index,9.79,12.82,1.32,9.75,84.8,66,ok
