time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
1.20,index,,,,,,,No finger detected.
1.41,index,,,,,,,No finger detected.
1.61,index,,,,,,,No finger detected.
1.81,index,,,,,,,No finger detected.
2.00,index,,,,,,,No finger detected.
2.21,index,,,,,,,No finger detected.
2.40,index,,,,,,,No finger detected.
2.61,index,,,,,,,No finger detected.
2.80,index,,,,,,,No finger detected.
3.02,index,,,,,,,No finger detected.
3.21,index,,,,,,,No finger detected.
3.41,index,,,,,,,No finger detected.
3.61,index,,,,,,,No finger detected.
3.82,index,,,,,,,No finger detected.
4.22,index,,,,,,,No finger detected.
4.42,index,,,,,,,No finger detected.
4.63,index,,,,,,,No finger detected.
4.82,index,,,,,,,No finger detected.
6.01,index,0.89,0.94,0.9,0.56,7.6,6,ok
7.21,index,1.14,1.15,0.67,0.58,9.8,8,ok
8.23,index,1.3,1.38,0.3,0.85,11.3,12,ok
8.62,index,,,,,,,No finger detected.
8.81,index,,,,,,,No finger detected.
9.03,index,,,,,,,No finger detected.
9.47,index,,,,,,,No finger detected.
9.61,index,,,,,,,No finger detected.
9.83,index,,,,,,,No finger detected.
10.02,index,,,,,,,No finger detected.
11.21,index,1.3,1.38,0.46,0.69,11.3,12,ok
12.21,index,1.4,1.5,0.3,0.96,12.1,19,ok
12.61,index,1.52,1.61,0.3,1.11,13.2,22,ok
13.20,index,1.42,1.5,0.3,0.99,12.4,20,ok
13.81,index,1.33,1.38,0.3,0.88,11.5,12,ok
14.21,index,7.83,8.88,1.02,8.02,67.9,92,ok
14.61,index,,,,,,,Not enough finger rows detected in top photo.
15.01,index,10.04,10.5,0.8,17.21,89.9,90,ok
15.60,index,9.82,12.46,2.46,6.13,85.2,112,ok
16.21,index,8.98,11.88,0.87,17.72,95.1,78,ok
16.61,index,10.06,12.92,0.98,13.39,87.2,69,ok
17.20,index,10.11,16.61,2.27,6.76,87.7,71,ok
17.60,index,10.08,13.28,2.55,6.26,87.3,95,ok
18.19,index,9.97,16.38,2.2,6.74,86.4,62,ok
18.60,index,10.17,12.59,1.62,8.79,88.0,62,ok
19.20,index,9.96,13.15,2.1,6.96,86.4,64,ok
19.79,index,9.13,12.57,1.21,11.23,87.9,81,ok
20.41,index,9.29,12.23,1.25,11.14,88.9,84,ok
20.80,index,7.92,12.46,1.43,9.34,86.1,71,ok
21.39,index,9.69,12.24,1.19,11.74,89.2,85,ok
22.00,index,7.22,10.16,1.18,6.12,62.6,73,ok
22.40,index,8.25,12.38,1.5,4.53,58.2,74,ok
22.99,index,7.02,10.3,1.38,5.16,60.7,68,ok
23.60,index,7.34,10.17,1.1,6.68,63.6,70,ok
24.00,index,9.23,12.57,1.49,8.55,83.6,83,ok
24.59,index,9.21,12.57,1.55,7.9,81.5,83,ok
25.20,index,9.23,12.34,1.61,7.89,82.8,82,ok
25.79,index,9.19,12.57,1.71,7.86,84.8,82,ok
26.40,index,9.2,12.67,1.81,7.6,85.5,83,ok
26.99,index,9.14,12.54,1.77,7.43,83.7,83,ok
27.60,index,9.27,12.57,1.83,7.28,83.7,83,ok
28.19,index,9.23,12.44,1.83,7.46,85.0,83,ok
28.80,index,9.38,12.69,1.85,7.13,83.1,85,ok
29.40,index,9.28,12.69,1.97,6.99,84.3,82,ok
30.00,index,9.17,12.69,1.93,7.19,85.0,82,ok
30.59,index,9.18,12.11,2.25,6.1,82.0,83,ok
30.99,index,9.03,12.15,2.53,5.63,81.2,82,ok
31.60,index,8.97,12.15,2.37,5.19,75.3,80,ok
32.19,index,8.62,12.38,2.19,4.49,66.6,77,ok
32.59,index,8.79,12.33,2.67,4.67,72.5,75,ok
33.20,index,8.68,12.66,2.78,4.35,69.3,77,ok
33.79,index,9.08,15.65,2.56,4.47,67.7,79,ok
34.19,index,9.96,15.41,2.71,4.68,71.1,88,ok
34.80,index,9.08,12.58,2.74,5.53,81.2,79,ok
35.39,index,9.15,12.3,2.19,6.51,83.9,81,ok
36.00,index,9.09,12.61,2.11,6.86,85.6,78,ok
36.60,index,9.18,12.82,2.01,6.85,83.9,81,ok
36.99,index,7.81,12.13,0.95,8.5,67.6,73,ok
37.60,index,8.68,12.46,1.11,6.89,65.0,78,ok
38.19,index,8.65,12.58,1.24,6.94,68.6,78,ok
38.80,index,9.54,12.58,1.05,8.37,70.3,86,ok
39.39,index,9.64,12.59,0.97,8.67,69.0,86,ok
40.00,index,8.55,12.92,0.98,8.59,69.1,74,ok
40.40,index,8.76,12.81,0.93,9.12,69.6,79,ok
