time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
1.81,index,10.57,13.26,1.35,11.02,88.5,85,ok
2.42,index,10.49,12.05,1.4,10.52,87.9,77,ok
3.02,index,10.56,13.6,1.11,13.12,88.6,81,ok
3.40,index,10.54,13.34,0.85,16.77,88.5,75,ok
4.01,index,10.17,13.2,1.02,13.2,85.5,79,ok
4.60,index,10.49,13.36,1.15,12.53,87.9,73,ok
5.22,index,10.3,13.06,0.83,16.4,86.8,72,ok
5.81,index,9.52,12.65,0.39,32.83,87.0,84,ok
6.20,index,9.6,12.46,0.39,30.8,84.7,85,ok
6.81,index,9.89,12.34,0.41,30.0,85.7,67,ok
7.41,index,9.65,12.44,0.4,30.29,85.2,86,ok
8.21,index,9.96,12.77,0.39,31.12,85.4,90,ok
8.82,index,9.68,12.65,0.4,30.9,86.2,87,ok
9.41,index,9.83,12.67,0.38,33.74,87.7,89,ok
10.01,index,9.81,12.54,0.39,31.82,86.4,89,ok
10.42,index,9.74,12.46,0.43,28.6,85.7,86,ok
11.01,index,9.76,12.32,0.43,28.29,85.3,87,ok
11.61,index,9.78,12.44,0.43,28.11,85.0,88,ok
12.21,index,9.68,12.32,0.43,28.21,85.2,87,ok
12.82,index,9.74,12.32,0.44,27.5,85.1,87,ok
13.41,index,9.69,12.32,0.45,27.52,86.1,87,ok
14.01,index,9.74,12.32,0.44,27.65,85.3,86,ok
14.42,index,9.8,12.32,0.42,29.03,85.4,88,ok
15.22,index,9.71,12.32,0.42,28.79,85.1,87,ok
15.81,index,9.86,12.32,0.44,27.89,85.7,89,ok
16.21,index,9.76,12.54,0.42,28.57,84.9,87,ok
