time_s,finger,width_mm,length_mm,c_curve_mm,arc_radius_mm,scan_px,poly_px,status
1.80,index,9.65,12.78,0.71,17.7,86.2,87,ok
3.05,index,9.67,12.55,0.86,14.77,86.2,87,ok
3.41,index,9.71,12.32,0.9,14.19,86.4,87,ok
4.01,index,9.51,12.67,0.75,16.77,86.1,85,ok
4.82,index,9.81,12.44,0.63,19.73,85.9,88,ok
5.41,index,9.29,12.71,0.45,30.3,88.4,82,ok
6.21,index,9.51,12.49,0.38,32.75,86.0,85,ok
6.81,index,9.63,12.56,0.32,37.76,85.2,87,ok
7.40,index,9.92,12.65,0.31,38.77,85.1,90,ok
8.00,index,9.68,12.19,0.35,35.46,86.4,88,ok
8.60,index,9.68,12.31,0.33,37.46,86.3,87,ok
9.20,index,9.45,12.65,0.33,38.17,87.1,85,ok
9.60,index,9.7,12.32,0.34,37.16,87.1,88,ok
10.21,index,9.26,12.19,0.36,34.57,86.5,83,ok
10.80,index,9.25,12.54,0.32,38.2,85.8,83,ok
11.41,index,9.25,12.54,0.33,36.65,85.3,83,ok
12.00,index,9.9,12.19,0.34,36.18,86.0,108,ok
12.61,index,9.97,12.54,0.32,38.96,86.6,109,ok
13.20,index,9.42,12.65,0.3,41.42,86.5,84,ok
13.81,index,9.52,12.54,0.31,40.51,87.0,86,ok
14.40,index,9.69,12.31,0.34,36.69,86.6,86,ok
15.00,index,9.26,12.31,0.32,38.96,86.6,83,ok
15.41,index,9.27,12.31,0.3,41.64,86.8,83,ok
16.00,index,9.19,12.67,0.3,42.34,87.4,83,ok
16.61,index,9.24,12.19,0.31,39.98,86.4,83,ok
17.20,index,9.21,12.31,0.32,39.28,87.0,83,ok
18.00,index,9.29,12.31,0.32,38.42,86.0,84,ok
18.60,index,9.28,12.31,0.32,38.85,86.5,84,ok
19.01,index,9.17,12.65,0.3,42.22,87.4,82,ok
19.60,index,9.41,12.65,0.3,42.45,87.6,85,ok
20.21,index,9.24,12.08,0.3,40.62,85.7,83,ok
20.80,index,9.37,12.77,0.3,42.33,87.5,85,ok
21.40,index,9.25,12.77,0.3,42.02,87.1,83,ok
22.00,index,9.29,12.67,0.3,42.37,87.4,84,ok
22.61,index,9.28,12.65,0.3,41.39,86.5,84,ok
23.20,index,9.33,12.65,0.3,42.02,87.1,84,ok
23.81,index,9.36,12.77,0.3,42.02,87.1,84,ok
24.40,index,9.27,12.31,0.3,42.42,87.6,84,ok
25.01,index,9.36,12.77,0.3,41.22,86.3,84,ok
25.60,index,9.31,12.54,0.3,41.77,86.9,84,ok
26.21,index,9.3,12.65,0.3,41.68,86.8,84,ok
26.80,index,9.42,12.54,0.3,40.96,86.0,85,ok
27.41,index,9.47,12.65,0.3,41.99,87.1,85,ok
